Time,CH1,CH2
0.003860,0.4947,-0.0362
0.003870,0.4279,-0.0362
0.003880,0.1940,-0.0362
0.003890,0.6784,-0.0529
0.003900,0.1940,-0.0195
0.003910,0.4446,-0.0195
0.003920,0.4613,-0.0529
0.003930,0.1773,-0.0362
0.003940,0.6784,-0.0362
0.003950,0.1940,-0.0362
0.003960,0.4112,-0.0362
0.003970,0.5114,-0.0362
0.003980,0.1439,-0.0362
0.003990,0.6617,-0.0362
0.004000,0.2274,-0.0362
0.004010,0.3778,-0.0195
0.004020,0.5448,-0.0529
0.004030,0.1105,-0.0195
0.004040,0.6617,-0.0529
0.004050,0.2441,-0.0195
0.004060,0.3277,-0.0195
0.004070,0.5949,-0.0529
0.004080,0.1105,-0.0195
0.004090,0.6283,-0.0362
0.004100,0.2775,-0.0362
0.004110,0.2775,-0.0362
0.004120,0.6283,-0.0362
0.004130,0.1105,-0.0362
0.004140,0.5949,-0.0362
0.004150,0.3110,-0.0362
0.004160,0.2608,-0.0362
0.004170,0.6450,-0.0529
0.004180,0.1105,-0.0195
0.004190,0.5615,-0.0362
0.004200,0.3778,-0.0362
0.004210,0.2274,-0.0362
0.004220,0.6450,-0.0529
0.004230,0.1439,-0.0195
0.004240,0.5114,-0.0195
0.004250,0.4112,-0.0529
0.004260,0.2107,-0.0362
0.004270,0.6784,-0.0529
0.004280,0.1606,-0.0195
0.004290,0.4947,-0.0195
0.004300,0.4279,-0.0529
0.004310,0.1940,-0.0362
0.004320,0.6784,-0.0362
0.004330,0.1940,-0.0362
0.004340,0.4446,-0.0195
0.004350,0.4613,-0.0529
0.004360,0.1773,-0.0362
0.004370,0.6784,-0.0529
0.004380,0.1940,-0.0195
0.004390,0.3945,-0.0195
0.004400,0.5114,-0.0529
0.004410,0.1439,-0.0362
0.004420,0.6617,-0.0529
0.004430,0.2274,-0.0195
0.004440,0.3778,-0.0195
0.004450,0.5448,-0.0529
0.004460,0.1439,-0.0362
0.004470,0.6450,-0.0529
0.004480,0.2608,-0.0195
0.004490,0.3277,-0.0195
0.004500,0.5949,-0.0529
0.004510,0.1439,-0.0362
0.004520,0.6283,-0.0362
0.004530,0.2775,-0.0362
0.004540,0.2775,-0.0195
0.004550,0.6116,-0.0529
0.004560,0.1105,-0.0195
0.004570,0.6116,-0.0362
0.004580,0.3110,-0.0362
0.004590,0.2608,-0.0362
0.004600,0.6450,-0.0362
0.004610,0.1105,-0.0362
0.004620,0.5615,-0.0362
0.004630,0.3778,-0.0362
0.004640,0.2274,-0.0362
0.004650,0.6617,-0.0529
0.004660,0.1606,-0.0195
0.004670,0.5114,-0.0195
0.004680,0.3945,-0.0529
0.004690,0.1940,-0.0362
0.004700,0.6784,-0.0529
0.004710,0.1606,-0.0195
0.004720,0.4780,-0.0195
0.004730,0.4279,-0.0529
0.004740,0.1940,-0.0362
0.004750,0.6784,-0.0529
0.004760,0.1940,-0.0195
0.004770,0.4446,-0.0195
0.004780,0.4780,-0.0529
0.004790,0.1606,-0.0362
0.004800,0.6784,-0.0529
0.004810,0.1940,-0.0195
0.004820,0.3945,-0.0362
0.004830,0.5114,-0.0362
0.004840,0.1439,-0.0362
0.004850,0.6617,-0.0529
0.004860,0.2274,-0.0195
0.004870,0.3778,-0.0362
0.004880,0.5615,-0.0529
0.004890,0.1105,-0.0195
0.004900,0.6450,-0.0362
0.004910,0.2608,-0.0362
0.004920,0.3277,-0.0362
0.004930,0.5949,-0.0362
0.004940,0.1105,-0.0362
0.004950,0.6283,-0.0362
0.004960,0.2775,-0.0362
0.004970,0.2775,-0.0362
0.004980,0.6283,-0.0362
0.004990,0.1439,-0.0362
0.005000,0.5949,-0.0362
0.005010,0.3277,-0.0362
0.005020,0.2608,-0.0362
0.005030,0.6283,-0.0362
0.005040,0.1439,-0.0362
0.005050,0.5615,-0.0195
0.005060,0.3778,-0.0529
0.005070,0.2274,-0.0362
0.005080,0.6784,-0.0529
0.005090,0.1606,-0.0195
0.005100,0.5114,-0.0195
0.005110,0.4112,-0.0529
0.005120,0.1773,-0.0362
0.005130,0.6784,-0.0529
0.005140,0.1606,-0.0195
0.005150,0.4947,-0.0195
0.005160,0.4279,-0.0529
0.005170,0.1940,-0.0362
0.005180,0.6784,-0.0362
0.005190,0.1940,-0.0362
0.005200,0.4446,-0.0195
0.005210,0.4780,-0.0529
0.005220,0.1606,-0.0362
0.005230,0.6784,-0.0529
0.005240,0.2107,-0.0195
0.005250,0.4112,-0.0362
0.005260,0.5114,-0.0362
0.005270,0.1439,-0.0362
0.005280,0.6617,-0.0529
0.005290,0.2274,-0.0195
0.005300,0.3778,-0.0195
0.005310,0.5615,-0.0529
0.005320,0.1105,-0.0362
0.005330,0.6450,-0.0362
0.005340,0.2608,-0.0362
0.005350,0.3277,-0.0362
0.005360,0.5949,-0.0362
0.005370,0.1439,-0.0362
0.005380,0.6116,-0.0362
0.005390,0.2943,-0.0362
0.005400,0.2775,-0.0362
0.005410,0.6283,-0.0529
0.005420,0.1439,-0.0195
0.005430,0.5949,-0.0362
0.005440,0.3277,-0.0362
0.005450,0.2441,-0.0195
0.005460,0.6450,-0.0529
0.005470,0.1439,-0.0195
0.005480,0.5448,-0.0195
0.005490,0.3611,-0.0529
0.005500,0.2107,-0.0195
0.005510,0.6784,-0.0529
0.005520,0.1439,-0.0195
0.005530,0.5114,-0.0195
0.005540,0.3945,-0.0529
0.005550,0.2107,-0.0362
0.005560,0.6617,-0.0362
0.005570,0.1606,-0.0362
0.005580,0.4613,-0.0195
0.005590,0.4613,-0.0529
0.005600,0.1606,-0.0362
0.005610,0.6784,-0.0529
0.005620,0.1940,-0.0195
0.005630,0.4446,-0.0195
0.005640,0.4780,-0.0529
0.005650,0.1439,-0.0362
0.005660,0.6784,-0.0362
0.005670,0.2107,-0.0362
0.005680,0.3945,-0.0195
0.005690,0.5114,-0.0529
0.005700,0.1105,-0.0362
0.005710,0.6784,-0.0529
0.005720,0.2274,-0.0195
0.005730,0.3778,-0.0195
0.005740,0.5615,-0.0529
0.005750,0.1105,-0.0195
0.005760,0.6450,-0.0529
0.005770,0.2441,-0.0195
0.005780,0.2943,-0.0195
0.005790,0.5949,-0.0529
0.005800,0.1105,-0.0195
0.005810,0.6283,-0.0362
0.005820,0.2775,-0.0362
0.005830,0.2775,-0.0195
0.005840,0.6283,-0.0529
0.005850,0.1105,-0.0195
0.005860,0.6116,-0.0362
0.005870,0.3110,-0.0362
0.005880,0.2441,-0.0362
0.005890,0.6617,-0.0529
0.005900,0.1105,-0.0195
0.005910,0.5615,-0.0362
0.005920,0.3778,-0.0362
0.005930,0.2274,-0.0195
0.005940,0.6617,-0.0529
0.005950,0.1606,-0.0195
0.005960,0.4947,-0.0195
0.005970,0.4112,-0.0529
0.005980,0.1773,-0.0362
0.005990,0.6784,-0.0529
0.006000,0.1773,-0.0195
0.006010,0.4780,-0.0195
0.006020,0.4613,-0.0529
0.006030,0.1606,-0.0362
0.006040,0.6784,-0.0529
0.006050,0.1773,-0.0195
0.006060,0.4446,-0.0195
0.006070,0.4780,-0.0529
0.006080,0.1105,-0.0362
0.006090,0.6617,-0.0529
0.006100,0.2107,-0.0195
0.006110,0.4112,-0.0195
0.006120,0.5114,-0.0529
0.006130,0.1439,-0.0362
0.006140,0.6450,-0.0529
0.006150,0.2441,-0.0195
0.006160,0.3611,-0.0195
0.006170,0.5615,-0.0529
0.006180,0.0771,-0.0362
0.006190,0.6450,-0.0362
0.006200,0.2608,-0.0362
0.006210,0.3110,-0.0362
0.006220,0.5949,-0.0362
0.006230,0.1439,-0.0362
0.006240,0.6116,-0.0362
0.006250,0.2775,-0.0362
0.006260,0.2775,-0.0195
0.006270,0.6450,-0.0529
0.006280,0.1105,-0.0195
0.006290,0.5615,-0.0362
0.006300,0.3277,-0.0362
0.006310,0.2441,-0.0195
0.006320,0.6450,-0.0529
0.006330,0.1105,-0.0195
0.006340,0.5281,-0.0362
0.006350,0.3778,-0.0362
0.006360,0.2107,-0.0362
0.006370,0.6617,-0.0529
0.006380,0.1606,-0.0195
0.006390,0.5114,-0.0362
0.006400,0.4112,-0.0362
0.006410,0.1940,-0.0195
0.006420,0.6784,-0.0529
0.006430,0.1773,-0.0362
0.006440,0.4613,-0.0362
0.006450,0.4446,-0.0529
0.006460,0.1606,-0.0195
0.006470,0.6951,-0.0362
0.006480,0.1940,-0.0362
0.006490,0.4446,-0.0362
0.006500,0.4947,-0.0362
0.006510,0.1439,-0.0362
0.006520,0.6784,-0.0529
0.006530,0.2274,-0.0195
0.006540,0.3945,-0.0195
0.006550,0.5281,-0.0529
0.006560,0.1439,-0.0362
0.006570,0.6617,-0.0362
0.006580,0.2274,-0.0362
0.006590,0.3611,-0.0195
0.006600,0.5615,-0.0529
0.006610,0.1105,-0.0362
0.006620,0.6450,-0.0362
0.006630,0.2608,-0.0362
0.006640,0.3110,-0.0195
0.006650,0.6116,-0.0529
0.006660,0.1105,-0.0195
0.006670,0.6116,-0.0529
0.006680,0.3110,-0.0195
0.006690,0.2775,-0.0195
0.006700,0.6283,-0.0529
0.006710,0.1105,-0.0195
0.006720,0.5949,-0.0362
0.006730,0.3277,-0.0362
0.006740,0.2441,-0.0362
0.006750,0.6617,-0.0529
0.006760,0.1439,-0.0195
0.006770,0.5448,-0.0195
0.006780,0.3778,-0.0529
0.006790,0.2274,-0.0362
0.006800,0.6784,-0.0362
0.006810,0.1606,-0.0362
0.006820,0.5114,-0.0195
0.006830,0.3945,-0.0529
0.006840,0.1940,-0.0362
0.006850,0.6784,-0.0529
0.006860,0.1606,-0.0195
0.006870,0.4613,-0.0195
0.006880,0.4613,-0.0529
0.006890,0.1606,-0.0362
0.006900,0.6951,-0.0529
0.006910,0.1940,-0.0195
0.006920,0.4279,-0.0362
0.006930,0.4780,-0.0362
0.006940,0.1606,-0.0362
0.006950,0.6784,-0.0362
0.006960,0.1940,-0.0362
0.006970,0.3945,-0.0362
0.006980,0.5281,-0.0362
0.006990,0.1105,-0.0362
0.007000,0.6784,-0.0362
0.007010,0.2274,-0.0362
0.007020,0.3611,-0.0195
0.007030,0.5615,-0.0529
0.007040,0.1105,-0.0195
0.007050,0.6450,-0.0362
0.007060,0.2608,-0.0362
0.007070,0.2943,-0.0195
0.007080,0.6116,-0.0529
0.007090,0.1105,-0.0195
0.007100,0.6450,-0.0362
0.007110,0.3110,-0.0362
0.007120,0.2775,-0.0362
0.007130,0.6283,-0.0362
0.007140,0.1439,-0.0362
0.007150,0.5615,-0.0529
0.007160,0.3277,-0.0195
0.007170,0.2274,-0.0195
0.007180,0.6450,-0.0529
0.007190,0.1439,-0.0195
0.007200,0.5448,-0.0362
0.007210,0.3611,-0.0362
0.007220,0.2107,-0.0195
0.007230,0.6617,-0.0529
0.007240,0.1606,-0.0195
0.007250,0.4947,-0.0362
0.007260,0.4112,-0.0529
0.007270,0.1773,-0.0195
0.007280,0.6784,-0.0529
0.007290,0.1773,-0.0195
0.007300,0.4613,-0.0362
0.007310,0.4613,-0.0362
0.007320,0.1439,-0.0362
0.007330,0.6784,-0.0529
0.007340,0.1940,-0.0195
0.007350,0.4279,-0.0362
0.007360,0.4780,-0.0362
0.007370,0.1105,-0.0362
0.007380,0.6784,-0.0529
0.007390,0.2107,-0.0195
0.007400,0.3945,-0.0195
0.007410,0.5281,-0.0529
0.007420,0.1439,-0.0362
0.007430,0.6617,-0.0529
0.007440,0.2274,-0.0195
0.007450,0.3277,-0.0195
0.007460,0.5615,-0.0529
0.007470,0.1105,-0.0362
0.007480,0.6450,-0.0195
0.007490,0.2775,-0.0529
0.007500,0.2943,-0.0362
0.007510,0.6116,-0.0529
0.007520,0.1105,-0.0195
0.007530,0.6116,-0.0362
